"Tabela 1378 - População residente, por situação do domicílio, sexo e idade, segundo a condição no domicílio e compartilhamento da responsabilidade pelo domicílio"
"Condição no domicílio e o compartilhamento da responsabilidade pelo domicílio - Total"
"Variável - População residente - percentual do total geral"
"Brasil"
"Idade","Ano x Situação do domicílio x Sexo"
"Idade","2010"
"Idade","Total"
"Idade","Homens","Mulheres"
"0 a 4 anos","3.68","3.55"
"5 a 9 anos","4.00","3.85"
"10 a 14 anos","4.57","4.43"
"15 a 17 anos","2.74","2.69"
"18 ou 19 anos","1.75","1.73"
"20 a 24 anos","4.52","4.52"
"25 a 29 anos","4.44","4.53"
"30 a 34 anos","4.05","4.21"
"35 a 39 anos","3.55","3.73"
"40 a 44 anos","3.31","3.51"
"45 a 49 anos","2.98","3.22"
"50 a 54 anos","2.53","2.78"
"55 a 59 anos","2.05","2.29"
"60 a 64 anos","1.59","1.82"
"65 a 69 anos","1.17","1.37"
"70 a 74 anos","0.87","1.09"
"75 a 79 anos","0.57","0.77"
"80 anos","0.10","0.14"
"81 anos","0.07","0.11"
"82 anos","0.07","0.10"
"83 anos","0.06","0.09"
"84 anos","0.05","0.08"
"85 anos","0.05","0.07"
"86 anos","0.04","0.06"
"87 anos","0.03","0.05"
"88 anos","0.03","0.04"
"89 anos","0.02","0.04"
"90 anos","0.02","0.04"
"91 anos","0.01","0.02"
"92 anos","0.01","0.02"
"93 anos","0.01","0.02"
"94 anos","0.01","0.01"
"95 anos","0.01","0.01"
"96 anos","0.00","0.01"
"97 anos","0.00","0.01"
"98 anos","0.00","0.00"
"99 anos","0.00","0.00"
"100 anos ou mais","0.00","0.01"
"Fonte: IBGE - Censo Demográfico"

"Notas"
"1 - Dados do Universo."
"2 - A categoria Pessoa responsável inclui as pessoas Sem declaração de compartilhamento de responsabilidade pelo domicílio."
""
"Legenda"
"Símbolo","Significado"
"-","Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0","Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X","Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..","Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...","Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)","Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
